HANZI,PINYIN [PLECO],DEF1,TIPO1,DEF2,TIPO2,LESSON,NUMBER,LECCION,NUM,#
小丽,XIǍOLÌ,(nombre de una persona),NP,,,1,,,,
小刚,XIǍOGĀNG,(nombre de una persona),NP,,,1,,,,
太太,TÀITAI,señora,NOM,,,2,7,,,
秘书,MÌSHŪ,secretaria,NOM,,,2,8,,,
周,ZHŌU,(apellido de una persona),NP,,,2,,,,
周明,ZHŌUMÍNG,(nombre de una persona),NP,,,2,,,,
小明,XIǍOMÍNG,(nombre de una persona),NP,,,4,,,,
马可,MǍKĚ,(primer nombre de una persona),NP,,,4,,,,
李小美,LǏXIǍOMĚI,(nombre de una persona),NP,,,4,,,,
张,ZHĀNG,(apellido de una persona),NP,,,5,,,,
眼镜,YǍNJÌNG,"lentes, gafas",NOM,,,6,1,,,
睡着,SHUÌZHÁO,quedarse dormido,VER,,,6,14,,,
可乐,KĚLÈ,"cola, Coca Cola",NOM,,,8,9,,,
大山,DÀSHĀN,(nombre de una persona),NP,,,9,,,,
李静,LǏJÌNG,(nombre de una persona),NP,,,9,,,,
中介,ZHŌNGJIÈ,"intermediario, agente",NOM,,,10,12,,,
小云,XIǍOYÚN,(nombre de una persona),NP,,,15,,,,
,,,,,,,,,,
厨房,CHÚFÁNG,cocina,NOM,,,,,13,19,
饭馆,FÀNGUǍN,restaurante,NOM,,,,,20,5,
敢,GǍN,atreverse a,VER,,,,,,,
花园,HUĀYUÁN,jardín,NOM,,,,,21,46,
普通话,PǓTŌNGHUÀ,lengua común (mandarín),NOM,,,,,15,36,
信,XÌN,carta,NOM,,,,,15,22,
以后,YǏHÒU,"después, más tarde",NOM,,,,,21,23,
云,YÚN,,,,,,,,,
祝,ZHÙ,"desear, felicitar",VER,deseo,NOM,,,9,21,
